,Unnamed: 0,Post Title,Description,Neighborhood,Price,No. Beds,SF,URL,lat,lon,geometry,code_words,cw_present
21,21,Great 2 Bedroom Apt In East Hollywood,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-great-bedroom-apt-in-east/7324022375.html""></div>
</div>
we have a nice 2 bedroom/1 bathroom apartment for rent in east hollywood, just blocks away from silverlake and los feliz. our building has a small swimming pool, a laundry room, and is in an extremely walkable location [walk score: 94!]. we are right by 2 of the red line metro stations, griffith park, echo park, hollywood, koreatown, movie theaters, bars, grocery stores, and shops of all sorts. the unit has a large kitchen, air conditioning, and plenty of closet space!<br/>
<br/>
---details---<br/>
-deposit: $1700. <br/>
-2 tandem parking spaces included.<br/>
-utilities are separate/not included.<br/>
-the lease terms are for 1 year, then switches to month-to-month. <br/>
-to set up a showing, email us! <br/>
-we love easy going, quiet neighbors! unfortunately we do not allow pets.<br/>
-we do not take section 8.    </section>", (East Hollywood),"$1,995",2.0,900.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-great-bedroom-apt-in-east/7324022375.html,34.094509,-118.289214,POINT (-118.289214 34.094509),art,True
22,22,"Single Apartment Available Now Los Feliz, Silver Lake, East Hollywood","<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/wst/apa/d/los-angeles-single-apartment-available/7314711494.html""></div>
</div>
single apartment available now.  right where los feliz, silverlake and hollywood meet.<br/>
<br/>
includes <br/>
<br/>
kitchen <br/>
2 closets<br/>
a/c<br/>
stove refrigerator<br/>
tub / shower<br/>
new hard surface (vinyl wood)<br/>
1 parking spot<br/>
building has coin laundry and a pool<br/>
<br/>
please leave your number if you'd like to schedule a showing or call  <a class=""show-contact"" data-href=""/reply/lax/apa/7314711494/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
<br/>
<br/>
close to lots of restaurants, coffee shops, grocery, bus lines, banks etc.<br/>
los feliz, silverlake, hollywood glendale, echo park    </section>", (Los Angeles),"$1,299",,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-single-apartment-available/7314711494.html,34.0998,-118.2897,POINT (-118.2897 34.0998),art,True
23,23,East Hollywood/K town,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-town/7323640542.html""></div>
</div>
this unit has just been completely updated with the finest materials. new designer floors, kitchen cabinets with carerra marble tops.<br/>
 updated bath with designer tiles and white shaker vanity with marble top.<br/>
 smooth ceilings,  new lighting, ample closet space. stove and frige. parking spot.<br/>
 .quiet, safe, street. this is the best unit on the market for this price.<br/>
 address: 423.5 normandie place<br/>
</section>",,"$1,250",,550.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-hollywood-town/7323640542.html,34.078572,-118.301195,POINT (-118.301195 34.078572),safe,True
24,24,Studio in East Hollywood all Utilities Included,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/wst/apa/d/los-angeles-studio-in-east-hollywood/7323210493.html""></div>
</div>
newly remodeled studio home with all new laminate flooring, new kitchenette combo with small fridge, stove, microwave, tv, queen murphy bed, new windows, new bathroom, fresh paint inside/out. all utilities included plus wifi. 2 person max. community coin laundry on premises and small storage outside, no pets allowed, no assigned parking inside. there’s a $30 application fee. read less    </section>",,"$1,295",,300.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-studio-in-east-hollywood/7323210493.html,34.087492,-118.290626,POINT (-118.290626 34.087492),,False
25,25,Extra Large East Hollywood One Bedroom with Vintage Charm,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-extra-large-east-hollywood/7323143485.html""></div>
</div>
beautiful 1920s spanish-style building in east hollywood with 10' ceilings, gleaming hardwood floors and tons of natural light. extra large (800 sq ft), top floor, rear-facing unit with views of hollywood and light throughout the day. recent upgrades include total kitchen remodel, brand-new stove, freshly tiled shower, re-finished hardwood floors, a new coat of white paint and new light fixtures throughout.<br/>
<br/>
up-and-coming east hollywood is as central as it gets. just a short 5 minute drive to los feliz, silver lake, koreatown, the heart of hollywood and the 101 freeway. lots of development underway, including newly-opened target within walking distance, shops along fountain avenue, and a large, 5-acre retail development under construction at santa monica and st. andrews.  laundry facilities on premises. tenant pays electric and gas. landlord pays water and garbage. no smoking is permitted and pets accepted on a case-by-case basis. optional parking garage for $100/month.    </section>", (East Hollywood),"$1,850",1.0,800.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-extra-large-east-hollywood/7323143485.html,34.092473,-118.301409,POINT (-118.301409 34.092473),coming,True
26,26,Extra Large East Hollywood One Bedroom with Vintage Charm,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-extra-large-east-hollywood/7323143215.html""></div>
</div>
beautiful 1920s spanish-style building in east hollywood with 10' ceilings, gleaming hardwood floors and tons of natural light. extra large (800 sq ft), top floor, rear-facing unit with views of hollywood and light throughout the day. recent upgrades include total kitchen remodel, brand-new stove, freshly tiled shower, re-finished hardwood floors, a new coat of white paint and new light fixtures throughout.<br/>
<br/>
up-and-coming east hollywood is as central as it gets. just a short 5 minute drive to los feliz, silver lake, koreatown, the heart of hollywood and the 101 freeway. lots of development underway, including newly-opened target within walking distance, shops along fountain avenue, and a large, 5-acre retail development under construction at santa monica and st. andrews. laundry facilities on premises. tenant pays electric and gas. landlord pays water and garbage. no smoking is permitted and pets accepted on a case-by-case basis. optional parking garage for $100/month. one month rent security deposit and first month to move in.    </section>", (East Hollywood),"$1,850",1.0,800.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-extra-large-east-hollywood/7323143215.html,34.092473,-118.301409,POINT (-118.301409 34.092473),coming,True
27,27,Large 1 Bed / 1 Bath Bungalow in East Hollywood / Silverlake,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/wst/apa/d/los-angeles-large-bed-bath-bungalow-in/7323139531.html""></div>
</div>
enjoy a peaceful, small building experience in a meticulously maintained and quiet setting, nestled in the heart of los angeles. newly renovated bungalow in the hollywood and silverlake area includes a new refrigerator, gas range, and walk-in closet. unit sits on a large property with a huge courtyard. these spacious units have been upgraded with wood floors and ac/heater. conveniently located to downtown los angeles, with close proximity to the 101 and 110 freeways. you are linked to anywhere in los angeles within minutes. the complex is keyed entry to tenants and authorized persons only. utilities include water &amp; trash. laundry on site. <br/>
<br/>
for showings, text jordan @  <a class=""show-contact"" data-href=""/reply/lax/apa/7323139531/__service_id__"" href=""#"" rel=""nofollow"" title=""click to show contact info"">show contact info</a>
 (please reference 1146 n madison)    </section>", (East Hollywood / Silverlake),"$1,800",1.0,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-large-bed-bath-bungalow-in/7323139531.html,34.092447,-118.289044,POINT (-118.289044 34.092447),art,True
28,28,spacious 1 bedroom in East Hollywood! $1590,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-bedroom-in-east/7323006872.html""></div>
</div>
5433 harold way #101 los angeles ca 90027<br/>
</section>", (Los Angeles),"$1,590",1.0,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-bedroom-in-east/7323006872.html,34.099309,-118.30825,POINT (-118.30825 34.099309),,False
32,32,BEAUTIFUL LARGE AND CHARMING SINGLE - HOLLYWOOD!!!RE1,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-large-and/7325120552.html""></div>
</div>
move in special, 3rd month free rent!!!<br/>
<br/>
location location location!!!!! near sunset and hollywood blvd!!!<br/>
<br/>
this apartment is a charming and cozy studio located in hollywood!!!<br/>
the apartment features hardwood flooring throughout the unit, lots of natural light and was just freshly painted for a brighter experience.<br/>
additionally, the apartment has a large walk in closet and lots of kitchen cabinets.<br/>
<br/>
apartment features:<br/>
*stove/oven*<br/>
*refrigerator*<br/>
*freshly painted*<br/>
*modern light fixtures*<br/>
*parquet wood flooring throughout apartment*<br/>
*home warming bath and kitchen tiles*<br/>
*light fixture with ceiling fan*<br/>
<br/>
building features:<br/>
*wash and dryer on site*<br/>
<br/>
<br/>
utilities:<br/>
all utilities included!!<br/>
<br/>
1237 north edgemont street has a walk score of 89 out of 100. this location is very walkable so most errands can be accomplished on foot.<br/>
<br/>
1237 north edgemont street is a 10 minute walk from the metro red line (802) at the vermont / sunset station stop.<br/>
<br/>
this location is in the east hollywood neighborhood in los angeles. nearby parks include barnsdall park, barnsdall park and lemon grove park.<br/>
<br/>
monthly rent $1,395.00, deposit $1,395.00, pet deposit $250.00, application fee $30.00<br/>
12 month lease<br/>
<br/>
please call or text our leasing team.    </section>"," (MOVE IN SPECIAL, 3rd MONTH FREE RENT!!!)","$1,395",,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-large-and/7325120552.html,34.094207,-118.296209,POINT (-118.296209 34.094207),art,True
37,37,East Holly- Silverlake adj Vintage Studio,"<section id=""postingbody"">
<div class=""print-information print-qrcode-container"">
<p class=""print-qrcode-label"">qr code link to this post</p>
<div class=""print-qrcode"" data-location=""https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-holly-silverlake-adj/7320119552.html""></div>
</div>
gillman apartments has put the finishing touches on our latest pet friendly studio apartment conveniently located between hollywood, silverlake and koreatown. close to freeway. close to bus lines. the unit itself is located on second floor in the quieter back with windows facing the north and east side. good morning sun. tiled floor, full kitchen with appliances, updated  bathroom. this vintage building has many architectural features not found in the modern buildings. for those tenants that can appreciate vintage la, this unit will not last long at this price. call or text rebecca who can set up a time for you to safely preview. laundry in the basement. downside is street parking only, however we do have an enclosed garage available.  ask rebecca details.    </section>", (Los Angeles),"$1,395",,450.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-east-holly-silverlake-adj/7320119552.html,34.088891,-118.302097,POINT (-118.302097 34.088891),art,True
